id,name,url
1,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/
2,ivysaur,https://pokeapi.co/api/v2/pokemon/2/
3,venusaur,https://pokeapi.co/api/v2/pokemon/3/
4,charmander,https://pokeapi.co/api/v2/pokemon/4/
5,charmeleon,https://pokeapi.co/api/v2/pokemon/5/
6,charizard,https://pokeapi.co/api/v2/pokemon/6/
7,squirtle,https://pokeapi.co/api/v2/pokemon/7/
8,wartortle,https://pokeapi.co/api/v2/pokemon/8/
9,blastoise,https://pokeapi.co/api/v2/pokemon/9/
10,caterpie,https://pokeapi.co/api/v2/pokemon/10/
11,metapod,https://pokeapi.co/api/v2/pokemon/11/
12,butterfree,https://pokeapi.co/api/v2/pokemon/12/
13,weedle,https://pokeapi.co/api/v2/pokemon/13/
14,kakuna,https://pokeapi.co/api/v2/pokemon/14/
15,beedrill,https://pokeapi.co/api/v2/pokemon/15/
16,pidgey,https://pokeapi.co/api/v2/pokemon/16/
17,pidgeotto,https://pokeapi.co/api/v2/pokemon/17/
18,pidgeot,https://pokeapi.co/api/v2/pokemon/18/
19,rattata,https://pokeapi.co/api/v2/pokemon/19/
20,raticate,https://pokeapi.co/api/v2/pokemon/20/
21,spearow,https://pokeapi.co/api/v2/pokemon/21/
22,fearow,https://pokeapi.co/api/v2/pokemon/22/
23,ekans,https://pokeapi.co/api/v2/pokemon/23/
24,arbok,https://pokeapi.co/api/v2/pokemon/24/
25,pikachu,https://pokeapi.co/api/v2/pokemon/25/
26,raichu,https://pokeapi.co/api/v2/pokemon/26/
27,sandshrew,https://pokeapi.co/api/v2/pokemon/27/
28,sandslash,https://pokeapi.co/api/v2/pokemon/28/
29,nidoran-f,https://pokeapi.co/api/v2/pokemon/29/
30,nidorina,https://pokeapi.co/api/v2/pokemon/30/
31,nidoqueen,https://pokeapi.co/api/v2/pokemon/31/
32,nidoran-m,https://pokeapi.co/api/v2/pokemon/32/
33,nidorino,https://pokeapi.co/api/v2/pokemon/33/
34,nidoking,https://pokeapi.co/api/v2/pokemon/34/
35,clefairy,https://pokeapi.co/api/v2/pokemon/35/
36,clefable,https://pokeapi.co/api/v2/pokemon/36/
37,vulpix,https://pokeapi.co/api/v2/pokemon/37/
38,ninetales,https://pokeapi.co/api/v2/pokemon/38/
39,jigglypuff,https://pokeapi.co/api/v2/pokemon/39/
40,wigglytuff,https://pokeapi.co/api/v2/pokemon/40/
41,zubat,https://pokeapi.co/api/v2/pokemon/41/
42,golbat,https://pokeapi.co/api/v2/pokemon/42/
43,oddish,https://pokeapi.co/api/v2/pokemon/43/
44,gloom,https://pokeapi.co/api/v2/pokemon/44/
45,vileplume,https://pokeapi.co/api/v2/pokemon/45/
46,paras,https://pokeapi.co/api/v2/pokemon/46/
47,parasect,https://pokeapi.co/api/v2/pokemon/47/
48,venonat,https://pokeapi.co/api/v2/pokemon/48/
49,venomoth,https://pokeapi.co/api/v2/pokemon/49/
50,diglett,https://pokeapi.co/api/v2/pokemon/50/
51,dugtrio,https://pokeapi.co/api/v2/pokemon/51/
52,meowth,https://pokeapi.co/api/v2/pokemon/52/
53,persian,https://pokeapi.co/api/v2/pokemon/53/
54,psyduck,https://pokeapi.co/api/v2/pokemon/54/
55,golduck,https://pokeapi.co/api/v2/pokemon/55/
56,mankey,https://pokeapi.co/api/v2/pokemon/56/
57,primeape,https://pokeapi.co/api/v2/pokemon/57/
58,growlithe,https://pokeapi.co/api/v2/pokemon/58/
59,arcanine,https://pokeapi.co/api/v2/pokemon/59/
60,poliwag,https://pokeapi.co/api/v2/pokemon/60/
61,poliwhirl,https://pokeapi.co/api/v2/pokemon/61/
62,poliwrath,https://pokeapi.co/api/v2/pokemon/62/
63,abra,https://pokeapi.co/api/v2/pokemon/63/
64,kadabra,https://pokeapi.co/api/v2/pokemon/64/
65,alakazam,https://pokeapi.co/api/v2/pokemon/65/
66,machop,https://pokeapi.co/api/v2/pokemon/66/
67,machoke,https://pokeapi.co/api/v2/pokemon/67/
68,machamp,https://pokeapi.co/api/v2/pokemon/68/
69,bellsprout,https://pokeapi.co/api/v2/pokemon/69/
70,weepinbell,https://pokeapi.co/api/v2/pokemon/70/
71,victreebel,https://pokeapi.co/api/v2/pokemon/71/
72,tentacool,https://pokeapi.co/api/v2/pokemon/72/
73,tentacruel,https://pokeapi.co/api/v2/pokemon/73/
74,geodude,https://pokeapi.co/api/v2/pokemon/74/
